DAG,Z-score,P-value
Control,7.9325,2.149e-15
Correlation,6.7043,2.023e-11
Clinician Consensus $\cup$ Golem,5.6721,1.410e-08
Simplified Clinician Consensus $\cup$ Simplified PCMB,5.7669,8.074e-09
Simplified Clinician Consensus $\cup$ Simplified Golem,6.0204,1.740e-09
Clinician Consensus $\cup$ PCMB,5.5715,2.526e-08
Simplified Golem $\cup$ Simplified PCMB,6.3830,1.737e-10
Clinician Consensus,5.6888,1.280e-08
Simplified Clinician Consensus,5.0814,3.747e-07
Clinician Consensus $\cap$ PCMB,3.5034,4.593e-04
Golem,8.8807,6.646e-19
PCMB,5.1015,3.370e-07
Simplified Clinician Consensus $\cap$ Simplified PCMB,6.1316,8.702e-10
Simplified PCMB,6.3266,2.506e-10
Clinician Consensus $\cap$ Golem,5.0653,4.077e-07
Simplified Golem,6.3973,1.581e-10
Golem $\cup$ PCMB,5.9383,2.880e-09
Simplified Golem $\cap$ Simplified PCMB,5.5593,2.709e-08
Simplified Clinician Consensus $\cap$ Simplified Golem,3.7647,1.667e-04
